ctd_serial_ID,time_GMT,ctd_scan_count,ctd_pressure_db,ctd_temp_C,ctd_conduct_mSpcm,ctd_sal_PSU,ctd_O2_temp_C,ctd_O2_mLpL,ctd_O2_umolpL,ctd_O2_sat_perc,ctd_O2_umolpkg,ctd_O2_mgpL,ctd_O2_GG_umolpkg
9507,2016-12-15 00:00:46,4,2.5,11.8092,41.216928,36.3784,11.8063,5.984,267.26,99.36,260.06,8.552,261.74038
9507,2016-12-15 00:20:46,5,2.5,11.8627,41.277284,36.3855,11.8612,5.947,265.61,98.86,258.46,8.499,261.43738
9507,2016-12-15 00:40:45,6,2.5,11.8659,41.279141,36.3842,11.8644,5.918,264.3,98.38,257.18,8.458,261.42249
9507,2016-12-15 01:00:45,7,2.5,11.7946,41.193352,36.3694,11.7944,5.963,266.31,98.97,259.14,8.522,261.83634
9507,2016-12-15 01:20:46,8,2.5,11.804,41.200157,36.3669,11.8013,6.007,268.27,99.71,261.04,8.584,261.78988
9507,2016-12-15 01:40:46,9,2.5,11.8167,41.217484,36.3715,11.8142,5.981,267.13,99.32,259.93,8.548,261.7122
9507,2016-12-15 02:00:46,10,2.5,11.8127,41.214266,36.3723,11.811,5.948,265.65,98.76,258.49,8.501,261.73277
9507,2016-12-15 02:20:46,11,2.5,11.7855,41.182649,36.3678,11.7846,5.946,265.56,98.67,258.4,8.498,261.88871
9507,2016-12-15 02:40:46,12,2.5,11.7823,41.182464,36.3707,11.7797,5.94,265.28,98.56,258.13,8.489,261.90054
9507,2016-12-15 03:00:46,13,2.5,11.7517,41.149373,36.368,11.7517,5.919,264.34,98.15,257.22,8.459,262.07172
9507,2016-12-15 03:20:46,14,2.5,11.7478,41.145229,36.3677,11.747,5.896,263.29,97.75,256.2,8.425,262.0935
9507,2016-12-15 03:40:47,15,2.5,11.7486,41.148878,36.3706,11.747,5.867,262.03,97.28,254.96,8.385,262.08388
9507,2016-12-15 04:00:46,16,2.5,11.7542,41.179188,36.3951,11.7515,5.85,261.24,97.02,254.2,8.36,262.00827
9507,2016-12-15 04:20:46,17,2.5,11.7619,41.191067,36.3992,11.7583,5.839,260.79,96.87,253.76,8.345,261.95864
9507,2016-12-15 04:40:46,18,2.5,11.7209,41.138677,36.3877,11.7189,5.835,260.59,96.7,253.56,8.339,262.20306
9507,2016-12-15 05:00:46,19,2.5,11.3332,40.723763,36.3572,11.3379,5.938,265.17,97.59,258.01,8.485,264.387
9507,2016-12-15 05:20:47,20,2.5,11.339,40.756715,36.3844,11.3384,5.983,267.19,98.36,259.96,8.55,264.3041
9507,2016-12-15 05:40:47,21,2.5,11.3198,40.754007,36.4007,11.3187,5.939,265.22,97.6,258.04,8.487,264.37971
9507,2016-12-15 06:00:47,22,2.5,11.3186,40.747909,36.3958,11.3171,5.93,264.85,97.46,257.69,8.475,264.39552
9507,2016-12-15 06:20:47,23,2.5,11.3384,40.750432,36.3787,11.3402,5.929,264.8,97.47,257.64,8.473,264.31806
9507,2016-12-15 06:40:47,24,2.5,11.3617,40.760963,36.3662,11.3616,5.934,265,97.59,257.84,8.48,264.21267
9507,2016-12-15 07:00:47,25,2.5,11.518,40.915701,36.3662,11.5124,5.845,261.04,96.45,254,8.353,263.35242
9507,2016-12-15 07:20:46,26,2.5,11.5355,40.943346,36.3764,11.5333,5.783,258.28,95.47,251.3,8.265,263.23724
9507,2016-12-15 07:40:46,27,2.5,11.5531,40.9668,36.3823,11.554,5.785,258.35,95.53,251.37,8.267,263.12938
9507,2016-12-15 08:00:46,28,2.5,11.58,40.994088,36.383,11.5809,5.757,257.1,95.13,250.16,8.227,262.98106
9507,2016-12-15 08:20:46,29,2.5,11.6027,41.017307,36.3836,11.6008,5.728,255.8,94.69,248.89,8.185,262.85541
9507,2016-12-15 08:40:46,30,2.5,11.6169,41.036084,36.3883,11.6155,5.694,254.3,94.17,247.44,8.138,262.76924
9507,2016-12-15 09:00:46,31,2.5,11.6313,41.052641,36.3905,11.6315,5.662,252.84,93.66,246.02,8.091,262.68622
9507,2016-12-15 09:20:46,32,2.5,11.6536,41.067036,36.3829,11.6493,5.657,252.66,93.63,245.84,8.085,262.57887
9507,2016-12-15 09:40:46,33,2.5,11.683,41.097132,36.3838,11.6814,5.646,252.17,93.5,245.36,8.069,262.41672
9507,2016-12-15 10:00:46,34,2.5,11.763,41.175042,36.3823,11.7617,5.642,251.97,93.58,245.18,8.063,261.98408
9507,2016-12-15 10:20:46,35,2.5,12.0523,41.469795,36.3894,12.0453,5.631,251.49,93.98,244.72,8.047,260.4075
9507,2016-12-15 10:40:45,36,2.5,11.9449,41.363825,36.3902,11.9438,5.676,253.51,94.52,246.68,8.112,260.98417
9507,2016-12-15 11:00:45,37,2.5,11.9356,41.35391,36.3896,11.9377,5.719,255.39,95.2,248.51,8.172,261.03573
9507,2016-12-15 11:20:45,38,2.5,12.1255,41.545265,36.3919,12.1254,5.732,255.97,95.8,249.09,8.191,260.00996
9507,2016-12-15 11:40:45,39,2.5,12.2049,41.624767,36.3922,12.2002,5.759,257.2,96.42,250.29,8.23,259.58436
9507,2016-12-15 12:00:45,40,2.5,11.9817,41.400583,36.3904,11.9797,5.826,260.19,97.08,253.18,8.326,260.78545
9507,2016-12-15 12:20:45,41,2.5,11.8882,41.314073,36.3968,11.8902,5.873,262.31,97.69,255.24,8.394,261.27858
9507,2016-12-15 12:40:45,42,2.5,11.9738,41.395437,36.393,11.9717,5.895,263.27,98.22,256.18,8.425,260.8232
9507,2016-12-15 13:00:45,43,2.5,11.9717,41.393764,36.3934,11.975,5.95,265.72,99.13,258.57,8.503,260.83358
9507,2016-12-15 13:20:45,44,2.5,12.0381,41.457326,36.3909,12.0347,6.002,268.03,100.13,260.82,8.577,260.48054
9507,2016-12-15 13:40:45,45,2.5,12.0634,41.481025,36.3895,12.0614,6.026,269.12,100.59,261.87,8.612,260.34726
9507,2016-12-15 14:00:45,46,2.5,12.0706,41.485989,36.3874,12.0688,6.092,272.09,101.71,264.76,8.707,260.31279
9507,2016-12-15 14:20:45,47,2.5,12.0921,41.508268,36.3882,12.0894,6.161,275.15,102.9,267.75,8.805,260.19559
9507,2016-12-15 14:40:45,48,2.5,12.1074,41.527572,36.3922,12.1062,6.159,275.05,102.9,267.65,8.802,260.10634
9507,2016-12-15 15:00:45,49,2.5,12.1257,41.544582,36.3909,12.124,6.174,275.74,103.2,268.32,8.824,260.0102
9507,2016-12-15 15:20:45,50,2.5,12.1291,41.550294,36.3932,12.1274,6.183,276.12,103.35,268.69,8.836,259.98791
9507,2016-12-15 15:40:45,51,2.5,12.1323,41.552964,36.3928,12.1312,6.209,277.29,103.79,269.83,8.873,259.97181
9507,2016-12-15 16:00:45,52,2.5,12.1405,41.56321,36.3948,12.1388,6.234,278.42,104.23,270.93,8.909,259.92418
9507,2016-12-15 16:20:45,53,2.5,12.1372,41.561968,36.3968,12.1355,6.232,278.34,104.2,270.85,8.907,259.9382
9507,2016-12-15 16:40:45,54,2.5,12.1224,41.54601,36.3956,12.1203,6.238,278.6,104.26,271.11,8.915,260.01966
9507,2016-12-15 17:00:45,55,2.5,12.067,41.502374,36.4069,12.0721,6.156,274.95,102.79,267.55,8.798,260.296
9507,2016-12-15 17:20:45,56,2.5,12.0605,41.493189,36.4043,12.06,6.072,271.19,101.36,263.89,8.678,260.33586
9507,2016-12-15 17:40:45,57,2.5,12.0106,41.446039,36.4067,12.0125,6.024,269.05,100.46,261.8,8.609,260.5995
9507,2016-12-15 18:00:45,58,2.5,11.915,41.3598,36.4155,11.9354,6.026,269.12,100.29,261.86,8.612,261.09898
9507,2016-12-15 18:20:45,59,2.5,11.5985,41.032565,36.4029,11.6011,6.061,270.69,100.2,263.38,8.662,262.8426
9507,2016-12-15 18:40:46,60,2.5,11.561,40.990077,36.3977,11.5607,6.034,269.46,99.67,262.18,8.623,263.05775
9507,2016-12-15 19:00:46,61,2.5,11.5672,40.995942,36.3974,11.5664,6.015,268.65,99.38,261.39,8.597,263.02422
9507,2016-12-15 19:20:46,62,2.5,11.5815,41.017063,36.4043,11.5813,6.009,268.35,99.3,261.1,8.587,262.9332
9507,2016-12-15 19:40:46,63,2.5,11.6343,41.065184,36.4001,11.6281,6.022,268.95,99.63,261.69,8.606,262.65234
9507,2016-12-15 20:00:46,64,2.5,11.8812,41.306764,36.3964,11.8674,6.048,270.08,100.57,262.8,8.642,261.3171
9507,2016-12-15 20:20:45,65,2.5,11.8456,41.265396,36.3905,11.8418,6.088,271.91,101.17,264.58,8.701,261.52049
9507,2016-12-15 20:40:45,66,2.5,11.8649,41.289979,36.3958,11.8633,6.066,270.92,100.85,263.62,8.669,261.40617
9507,2016-12-15 21:00:45,67,2.5,11.8379,41.265026,36.3977,11.8394,6.048,270.09,100.48,262.81,8.643,261.54906
9507,2016-12-15 21:20:46,68,2.5,11.8492,41.266882,36.3885,11.8383,6.035,269.5,100.28,262.24,8.624,261.50505
9507,2016-12-15 21:40:45,69,2.5,11.893,41.31432,36.3923,11.8899,6.059,270.59,100.78,263.3,8.659,261.26075
9507,2016-12-15 22:00:45,70,2.5,11.8417,41.252022,36.3811,11.8407,6.029,269.23,100.16,261.98,8.615,261.55908
9507,2016-12-15 22:20:46,71,2.5,11.8447,41.257409,36.3835,11.8426,5.992,267.62,99.57,260.41,8.564,261.53848
9507,2016-12-15 22:40:45,72,2.5,11.8546,41.260441,36.3768,11.8535,6.076,271.34,100.97,264.03,8.683,261.49722
9507,2016-12-15 23:00:45,73,2.5,11.8676,41.283724,36.387,11.8647,6.115,273.09,101.65,265.73,8.739,261.40778
9507,2016-12-15 23:20:45,74,2.5,11.8648,41.28775,36.3937,11.8638,6.1,272.42,101.4,265.08,8.717,261.41048
9507,2016-12-15 23:40:45,75,2.5,11.8532,41.277409,36.3949,11.8518,6.097,272.28,101.33,264.94,8.713,261.47142
9507,2016-12-16 00:00:45,76,2.5,11.8605,41.279699,36.39,11.8589,6.129,273.73,101.88,266.36,8.759,261.44081
9507,2016-12-16 00:20:45,77,2.5,11.8542,41.272269,36.3889,11.853,6.184,276.18,102.78,268.74,8.838,261.47712
9507,2016-12-16 00:40:45,78,2.5,11.8536,41.271897,36.3891,11.8505,6.175,275.76,102.62,268.32,8.824,261.48
9507,2016-12-16 01:00:45,79,2.5,11.847,41.272703,36.3964,11.8466,6.128,273.69,101.84,266.32,8.758,261.50227
9507,2016-12-16 01:20:45,80,2.5,11.7413,41.165889,36.3946,11.7492,6.059,270.6,100.47,263.31,8.659,262.07933
9507,2016-12-16 01:40:46,81,2.5,11.6572,41.085762,36.3979,11.661,5.978,266.98,98.95,259.77,8.543,262.53118
9507,2016-12-16 02:00:46,82,2.5,11.6447,41.078347,36.4029,11.644,5.915,264.14,97.88,257.01,8.453,262.59025
9507,2016-12-16 02:20:46,83,2.5,11.6537,41.08601,36.4016,11.6518,5.918,264.29,97.95,257.15,8.457,262.54342
9507,2016-12-16 02:40:46,84,2.5,11.6163,41.06185,36.4145,11.6152,5.914,264.12,97.82,256.98,8.452,262.72388
9507,2016-12-16 03:00:46,85,2.5,11.633,41.049489,36.3858,11.6294,5.933,264.95,98.14,257.8,8.478,262.68593
9507,2016-12-16 03:20:46,86,2.5,11.5726,40.977108,36.3734,11.5725,5.986,267.34,98.89,260.12,8.555,263.03931
9507,2016-12-16 03:40:46,87,2.5,11.5245,40.928535,36.3725,11.5242,6.005,268.16,99.1,260.92,8.581,263.3047
9507,2016-12-16 04:00:46,88,2.5,11.5198,40.96094,36.4094,11.5184,5.994,267.69,98.93,260.46,8.566,263.2619
9507,2016-12-16 04:20:46,89,2.5,11.3878,40.843858,36.4231,11.3937,5.967,266.48,98.22,259.26,8.527,263.96209
9507,2016-12-16 04:40:47,90,2.5,11.2524,40.748964,36.4623,11.2685,5.933,264.99,97.42,257.8,8.479,264.63666
9507,2016-12-16 05:00:47,91,2.5,11.2251,40.732029,36.4725,11.2206,5.885,262.8,96.57,255.68,8.41,264.76918
9507,2016-12-16 05:20:47,92,2.5,11.3722,40.772483,36.3673,11.3703,5.9,263.47,97.05,256.35,8.431,264.15265
