site,deployment,file,seafet_no,time_GMT,V_batt,V_therm,V_int,V_ext,E0int25,E0ext25,SF_T_degrC,sal_AVGdiscr,TA_AVGdiscr,pHint_tot,pHext_tot,pH_diff_IntExt
SETE,2,SF36_SETE_2m_20161213-20170424.TXT,36,2016/12/14 00:00:01,10.94,1.464848,0.052178,-0.912362,-0.420017269,-1.422828648,11.54279134,35.56,2709.341,8.096859718,8.233654129,-0.136794411
SETE,2,SF36_SETE_2m_20161213-20170424.TXT,36,2016/12/14 00:20:01,10.93,1.462411,0.052514,-0.912081,-0.420017269,-1.422828648,11.60423084,35.56,2709.341,8.102256792,8.237661916,-0.135405124
SETE,2,SF36_SETE_2m_20161213-20170424.TXT,36,2016/12/14 00:40:01,10.93,1.462479,0.05254,-0.912072,-0.420017269,-1.422828648,11.60251582,35.56,2709.341,8.102732346,8.237848191,-0.135115845
SETE,2,SF36_SETE_2m_20161213-20170424.TXT,36,2016/12/14 01:00:01,10.93,1.462323,0.052538,-0.912055,-0.420017269,-1.422828648,11.60645034,35.56,2709.341,8.102661661,8.238087165,-0.135425504
SETE,2,SF36_SETE_2m_20161213-20170424.TXT,36,2016/12/14 01:20:01,10.93,1.461771,0.052661,-0.911909,-0.420017269,-1.422828648,11.62037408,35.56,2709.341,8.104713638,8.240451974,-0.135738335
SETE,2,SF36_SETE_2m_20161213-20170424.TXT,36,2016/12/14 01:40:01,10.93,1.461143,0.052537,-0.91196,-0.420017269,-1.422828648,11.63621792,35.56,2709.341,8.102377026,8.239299991,-0.136922965
SETE,2,SF36_SETE_2m_20161213-20170424.TXT,36,2016/12/14 02:00:01,10.93,1.46259,0.052557,-0.912016,-0.420017269,-1.422828648,11.59971639,35.56,2709.341,8.10305834,8.238883392,-0.135825052
SETE,2,SF36_SETE_2m_20161213-20170424.TXT,36,2016/12/14 02:20:01,10.93,1.464435,0.052367,-0.912191,-0.420017269,-1.422828648,11.5532001,35.56,2709.341,8.100112259,8.236517594,-0.136405334
SETE,2,SF36_SETE_2m_20161213-20170424.TXT,36,2016/12/14 02:40:01,10.92,1.470908,0.05178,-0.912843,-0.420017269,-1.422828648,11.39022238,35.56,2709.341,8.09117647,8.227532681,-0.136356212
SETE,2,SF36_SETE_2m_20161213-20170424.TXT,36,2016/12/14 03:00:01,10.92,1.471272,0.051644,-0.913064,-0.420017269,-1.422828648,11.38106765,35.56,2709.341,8.088849327,8.223761789,-0.134912462
SETE,2,SF36_SETE_2m_20161213-20170424.TXT,36,2016/12/14 03:20:01,10.92,1.474937,0.05116,-0.91347,-0.420017269,-1.422828648,11.28895081,35.56,2709.341,8.081096139,8.218012184,-0.136916045
SETE,2,SF36_SETE_2m_20161213-20170424.TXT,36,2016/12/14 03:40:01,10.92,1.475483,0.050865,-0.913974,-0.420017269,-1.422828648,11.27523672,35.56,2709.341,8.075991014,8.209296272,-0.133305258
SETE,2,SF36_SETE_2m_20161213-20170424.TXT,36,2016/12/14 04:00:01,10.92,1.476277,0.050779,-0.913969,-0.420017269,-1.422828648,11.25529776,35.56,2709.341,8.07464421,8.209696355,-0.135052145
SETE,2,SF36_SETE_2m_20161213-20170424.TXT,36,2016/12/14 04:20:01,10.91,1.477401,0.050662,-0.91404,-0.420017269,-1.422828648,11.22708037,35.56,2709.341,8.072821311,8.208878887,-0.136057576
SETE,2,SF36_SETE_2m_20161213-20170424.TXT,36,2016/12/14 04:40:01,10.91,1.477905,0.050685,-0.914184,-0.420017269,-1.422828648,11.21443097,35.56,2709.341,8.073341217,8.206524311,-0.133183094
SETE,2,SF36_SETE_2m_20161213-20170424.TXT,36,2016/12/14 05:00:01,10.91,1.477673,0.050688,-0.914242,-0.420017269,-1.422828648,11.22025346,35.56,2709.341,8.073342697,8.205405502,-0.132062805
SETE,2,SF36_SETE_2m_20161213-20170424.TXT,36,2016/12/14 05:20:01,10.91,1.477112,0.050667,-0.914318,-0.420017269,-1.422828648,11.23433459,35.56,2709.341,8.072845538,8.20383889,-0.130993352
SETE,2,SF36_SETE_2m_20161213-20170424.TXT,36,2016/12/14 05:40:01,10.91,1.477539,0.050873,-0.913987,-0.420017269,-1.422828648,11.22361664,35.56,2709.341,8.076591524,8.209872283,-0.133280759
SETE,2,SF36_SETE_2m_20161213-20170424.TXT,36,2016/12/14 06:00:01,10.91,1.477587,0.051041,-0.9139,-0.420017269,-1.422828648,11.2224119,35.56,2709.341,8.079579643,8.211432976,-0.131853333
SETE,2,SF36_SETE_2m_20161213-20170424.TXT,36,2016/12/14 06:20:01,10.9,1.477321,0.050814,-0.914051,-0.420017269,-1.422828648,11.22908839,35.56,2709.341,8.075497274,8.20865258,-0.133155307
SETE,2,SF36_SETE_2m_20161213-20170424.TXT,36,2016/12/14 06:40:01,10.9,1.477171,0.051374,-0.913476,-0.420017269,-1.422828648,11.23285357,35.56,2709.341,8.085388161,8.218783948,-0.133395787
SETE,2,SF36_SETE_2m_20161213-20170424.TXT,36,2016/12/14 07:00:01,10.9,1.475993,0.051004,-0.913908,-0.420017269,-1.422828648,11.262429,35.56,2709.341,8.078567923,8.210665882,-0.132097959
SETE,2,SF36_SETE_2m_20161213-20170424.TXT,36,2016/12/14 07:20:01,10.9,1.475708,0.050974,-0.913721,-0.420017269,-1.422828648,11.269586,35.56,2709.341,8.077972674,8.213867641,-0.135894967
SETE,2,SF36_SETE_2m_20161213-20170424.TXT,36,2016/12/14 07:40:01,10.9,1.475491,0.051328,-0.913537,-0.420017269,-1.422828648,11.2750358,35.56,2709.341,8.084196884,8.217042791,-0.132845907
SETE,2,SF36_SETE_2m_20161213-20170424.TXT,36,2016/12/14 08:00:01,10.9,1.475801,0.051484,-0.913391,-0.420017269,-1.422828648,11.26725049,35.56,2709.341,8.087030586,8.219751726,-0.132721139
SETE,2,SF36_SETE_2m_20161213-20170424.TXT,36,2016/12/14 08:20:01,10.89,1.475641,0.050797,-0.91369,-0.420017269,-1.422828648,11.27126862,35.56,2709.341,8.074821336,8.214390638,-0.139569302
SETE,2,SF36_SETE_2m_20161213-20170424.TXT,36,2016/12/14 08:40:01,10.89,1.472858,0.051411,-0.912994,-0.420017269,-1.422828648,11.3411916,35.56,2709.341,8.085077685,8.22562698,-0.140549294
SETE,2,SF36_SETE_2m_20161213-20170424.TXT,36,2016/12/14 09:00:01,10.89,1.470304,0.051475,-0.913051,-0.420017269,-1.422828648,11.40541556,35.56,2709.341,8.085638787,8.223610357,-0.137971571
SETE,2,SF36_SETE_2m_20161213-20170424.TXT,36,2016/12/14 09:20:01,10.89,1.468722,0.051546,-0.912835,-0.420017269,-1.422828648,11.44522359,35.56,2709.341,8.086541279,8.22681142,-0.140270141
SETE,2,SF36_SETE_2m_20161213-20170424.TXT,36,2016/12/14 09:40:01,10.89,1.465925,0.05176,-0.91257,-0.420017269,-1.422828648,11.51565451,35.56,2709.341,8.089702164,8.230398124,-0.14069596
SETE,2,SF36_SETE_2m_20161213-20170424.TXT,36,2016/12/14 10:00:01,10.89,1.465171,0.051516,-0.913235,-0.420017269,-1.422828648,11.53465182,35.56,2709.341,8.085213019,8.218327124,-0.133114104
SETE,2,SF36_SETE_2m_20161213-20170424.TXT,36,2016/12/14 10:20:01,10.88,1.461694,0.051886,-0.912826,-0.420017269,-1.422828648,11.62231654,35.56,2709.341,8.090980412,8.224192512,-0.1332121
SETE,2,SF36_SETE_2m_20161213-20170424.TXT,36,2016/12/14 10:40:01,10.88,1.460109,0.052007,-0.912703,-0.420017269,-1.422828648,11.66231188,35.56,2709.341,8.092764563,8.225741655,-0.132977092
SETE,2,SF36_SETE_2m_20161213-20170424.TXT,36,2016/12/14 11:00:01,10.88,1.454866,0.052024,-0.912549,-0.420017269,-1.422828648,11.79476125,35.56,2709.341,8.091882777,8.226387013,-0.134504236
SETE,2,SF36_SETE_2m_20161213-20170424.TXT,36,2016/12/14 11:20:01,10.88,1.45044,0.052517,-0.911578,-0.420017269,-1.422828648,11.90675185,35.56,2709.341,8.099600007,8.241796196,-0.142196189
SETE,2,SF36_SETE_2m_20161213-20170424.TXT,36,2016/12/14 11:40:01,10.88,1.437066,0.053262,-0.910736,-0.420017269,-1.422828648,12.24617806,35.56,2709.341,8.109722417,8.251317196,-0.141594779
SETE,2,SF36_SETE_2m_20161213-20170424.TXT,36,2016/12/14 12:00:01,10.88,1.437393,0.053242,-0.910764,-0.420017269,-1.422828648,12.23786027,35.56,2709.341,8.109443862,8.250954189,-0.141510327
SETE,2,SF36_SETE_2m_20161213-20170424.TXT,36,2016/12/14 12:20:01,10.88,1.445522,0.052764,-0.911339,-0.420017269,-1.422828648,12.03138784,35.56,2709.341,8.102850317,8.244055903,-0.141205586
SETE,2,SF36_SETE_2m_20161213-20170424.TXT,36,2016/12/14 12:40:01,10.87,1.451613,0.05239,-0.911765,-0.420017269,-1.422828648,11.87705534,35.56,2709.341,8.097620152,8.238957662,-0.141337509
